NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
True,False,False,False,True,1024,-1,50,True,False,True,1,False,1e-05,0.92390922304565,0.0007281825566107,0.1032989494533921,0.9380310379961522,0.3932652536435931,0.826391595627137,0.2315217104811736,0.3863930530062492,0.1467022308438409,0.1172818748640952,6.0870917711848,1.84576660625672,naiveBCx1024x2-olddata-fixed-data-fastrelease-ep50-norm-start-timesignal-trainval
True,False,False,False,True,128,-1,50,True,False,False,1,False,1e-05,0.9354225809223528,0.0006517365877525,0.0822511418071303,0.9478229826457318,0.3272047458559057,0.6580091344570425,0.1595809593470113,0.3383434280515521,0.110303910885095,,,,naiveBCx128x2-olddata-fixed-data-fastrelease-ep50-norm-start-notimesignal-trainval
True,False,False,False,True,256,-1,50,True,False,True,1,False,1e-05,0.953788162736554,0.0005788041092612,0.0808568930015387,0.9603527354504796,0.3060008731740922,0.6468551440123095,0.1782960975981551,0.3028174375377245,0.1001454898157129,0.131622267400856,4.914580583427294,1.3869504780617024,naiveBCx256x2-olddata-fixed-data-fastrelease-ep50-norm-start-timesignal-trainval
True,False,False,False,True,512,-1,20,True,False,True,1,False,1e-05,0.9281423759515356,0.0007328079829517,0.1162403735989601,0.9409194701863492,0.4277489630151014,0.9299229887916808,0.281445892299399,0.4205830120082249,0.1380940834141609,0.1682728443817367,7.212305559126992,2.343118927906045,naiveBCx512x2-olddata-fixed-data-fastrelease-ep20-norm-start-timesignal-trainval
