NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename,ModelClass
False,False,True,False,True,256,256,85,True,False,True,3,True,1e-05,0.8818011696490493,0.0009634720052353,0.1596307179288744,0.9001958583457819,0.569073272877323,1.2770457434309956,0.3265713426694168,0.5733861801348716,0.2327521793275218,0.1224293240603041,5.208176835655195,1.1618861052510945,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-85-trainval,3
False,True,False,True,False,128,-1,1200,False,True,True,1,False,0.0001,0.973463574992611,0.0031869855159714,0.0594133045202325,0.9748778382567624,0.2483212501550839,0.4753064361618607,0.119025780952239,0.2428877675872895,0.0999999999999999,0.0525699186597574,0.139582018516719,0.1162102074466486,naiveBC-RNNx128x2-newdata-ep1200-norm-start-timesignal-testval,2
True,False,False,True,False,128,-1,50,False,True,True,1,False,1e-05,0.9830201304316228,0.0024149135123164,0.046667455013409,0.9827374595163616,0.1922244765305089,0.3733396401072725,0.027152705695708,0.2790866909565864,0.04,0.0314132658379122,1.4534152616657068,0.3330471268287335,naiveBCx128x2-newdata-fixed-data-fastrelease-ep50-norm-start-timesignal-testval,1
