NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,False,True,128,128,0,True,False,True,1,False,1e-05,0.6987945223028249,0.0174684123545222,3.717078824961917,0.7659979669533995,12.251470429023136,29.73663059969533,4.818445283085818,0.9432573216185302,0.3514791464597478,1.022678712667683,181.28511448691089,434.5614357502748,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-0-trainval
False,False,True,False,True,128,128,102,True,False,True,3,False,1e-05,0.904346149278372,0.0007991353534762,0.1291014582577012,0.9234599322574956,0.4675866748711416,1.0328116660616091,0.2174032760760499,0.504112432699225,0.2465753424657534,0.132602732128152,9.952899859851426,17.704088245484698,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-102-trainval
False,False,True,False,True,256,256,119,True,False,True,3,False,1e-05,0.8896234024381832,0.0008657507483735,0.130357884227222,0.9108415508656554,0.4970161137886739,1.0428630738177764,0.1959308656941547,0.4810950022950098,0.347571606475716,0.1389507228838242,52.18192442525056,12.187626314494652,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-119-trainval
False,False,True,False,True,128,128,136,True,False,True,3,True,1e-05,0.871489991462164,0.000947608822715,0.1490495715350707,0.8958945281977818,0.5385214437062014,1.1923965722805658,0.2520671294449226,0.5477446862820727,0.2779576587795765,0.1398628843702551,12.734808823358977,17.908104757613625,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-136-trainval
False,False,True,True,False,128,128,153,False,True,True,1,False,1e-05,0.8731973275502387,0.0071680385284363,0.1336168409403084,0.8748016394722901,0.5772101458867834,1.0689347275224672,0.1396738053741202,0.4026850185103012,0.4117647058823529,0.1385882342009735,24.33735610472563,1.513320700352849,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-153-testval
False,False,True,False,True,128,128,17,True,False,True,3,True,1e-05,0.8533913916455269,0.0010298424639022,0.1683943611111526,0.8833543914909441,0.6210902441839591,1.3471548888892213,0.3124126201649432,0.5471445371745016,0.3504358655043587,0.2111741188225601,86.48046959173153,52.99548677584824,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-17-trainval
False,False,True,True,False,128,128,170,False,True,True,1,False,1e-05,0.8698172511965591,0.0067685968525944,0.1362891146625419,0.8681249804467165,0.5741374192710462,1.090312917300336,0.1001343190788754,0.4643092133303954,0.4117647058823529,0.1147663238982401,24.11118890562007,1.101372220665288,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-170-testval
False,False,True,False,True,128,128,187,True,False,True,3,True,1e-05,0.8864983534579467,0.0009908844894285,0.1476858952219872,0.9089176266501756,0.5697873500960986,1.1814871617758982,0.2302211496158853,0.4882742777863311,0.3123287671232877,0.1522108217860669,14.614496616467008,22.616713514811973,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-187-trainval
False,False,True,False,True,256,256,34,True,False,True,3,True,1e-05,0.8684820112345972,0.0009039825311985,0.1649978275633892,0.8952722566447348,0.5969131585006583,1.3199826205071137,0.2887656935856708,0.5643776963270318,0.2266500622665006,0.1312684801820071,34.2726930867313,34.85670966023444,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-34-trainval
False,False,True,False,True,128,128,51,True,False,True,1,False,1e-05,0.9056639830243554,0.0008043224388086,0.1373200889626935,0.923942074184236,0.4792526354466239,1.098560711701548,0.2136734729056665,0.550558986682902,0.128031037827352,0.1556945001195478,5.266179489834097,0.676643847804027,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-51-trainval
False,False,True,False,True,128,128,68,True,False,True,3,True,1e-05,0.9104013858406882,0.0008229295719324,0.1279829484905932,0.9274624979863412,0.472712365577094,1.0238635879247453,0.2270088799536325,0.4624494895694421,0.148318804483188,0.1291847485883737,2.995524042668502,0.9081807087026535,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-68-trainval
False,False,True,False,True,256,256,85,True,False,True,3,True,1e-05,0.8818011696490493,0.0009634720052353,0.1596307179288744,0.9001958583457819,0.569073272877323,1.2770457434309956,0.3265713426694168,0.5733861801348716,0.2327521793275218,0.1224293240603041,5.208176835655195,1.1618861052510945,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-85-trainval
False,False,True,False,True,128,128,200,True,False,True,1,False,1e-05,0.9185263431528662,0.0007309433453793,0.1203901087858191,0.9342177140151522,0.4415135968141665,0.9631208702865528,0.2062357518275042,0.4901668279695612,0.1996847720659553,0.137142488805481,3.471235934393959,0.978589118752796,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-trainval
