NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,False,True,128,128,0,True,False,True,1,False,1e-05,0.6987945223028249,0.0174684123545222,3.717078824961917,0.7659979669533995,12.251470429023136,29.73663059969533,4.818445283085818,0.9432573216185302,0.3514791464597478,1.022678712667683,181.28511448691089,434.5614357502748,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-0-trainval
False,False,True,False,True,256,256,102,True,False,True,1,False,1e-05,0.8978724885265611,0.0008198298925216,0.1305801317000048,0.9183054706253172,0.4713218850261809,1.044641053600039,0.1983888961852538,0.5540097765787265,0.1925315227934044,0.1636534891016083,8.207332298644213,3.1388221692183955,BCO-leaky_g-256x2-256x2-start-timesignal-ep200-b64-at-102-trainval
False,False,True,True,False,128,128,119,True,False,True,3,False,1e-05,0.6699573326365704,0.0047176935732124,0.2677501604651925,0.7299703561428238,0.9236246930989588,2.14200128372154,0.5518319975930273,0.6738664814964829,0.3228571428571428,0.1803745172565216,3.487109277780506,0.923954979607638,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-119-testval
False,False,True,False,True,128,128,136,True,False,True,3,False,1e-05,0.9082665403995764,0.0007738993483092,0.1228015320065244,0.9253754660546258,0.4512093235950392,0.9824122560521956,0.2045816187652545,0.4821200700637257,0.1987546699875466,0.1573655773900264,6.919248686539873,2.320830779743099,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-136-trainval
False,False,True,True,False,256,256,153,True,False,True,3,False,1e-05,0.802861452837992,0.0031435434362557,0.1682142880517239,0.834574010702047,0.641563841938345,1.3457143044137914,0.3239226941909064,0.5662640187402904,0.2857142857142857,0.2537872501174425,3.950109980570885,3.208295480930114,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-153-testval
False,False,True,True,False,256,256,17,True,False,True,3,False,1e-05,0.5140318362172829,0.0078935705359056,0.4985931830752205,0.6080871929390359,1.6791577186708124,3.988745464601764,1.2798838381981594,0.9321030619638866,0.4895238095238094,0.5256875179414734,43.58671696767013,204.50146619504167,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-17-testval
False,False,True,False,True,128,128,170,True,False,True,1,False,1e-05,0.8801378199884322,0.001000509617941,0.1728721588162392,0.900931428152844,0.6566481964806342,1.382977270529914,0.2350773256063059,0.7673780283813324,0.2308438409311348,0.1386048320191057,3.005640154074068,0.781099856537416,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-170-trainval
False,False,True,False,True,128,128,187,True,False,True,1,False,1e-05,0.9277078214575264,0.0006880232978322,0.1077444368857657,0.941845276785564,0.4090481054175499,0.8619554950861261,0.1668789084961754,0.47686724905808,0.1202715809893307,0.1923730354313334,5.9743384313238685,1.651441536418235,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-187-trainval
False,False,True,True,False,128,128,34,True,False,True,3,False,1e-05,0.562090741289724,0.0054275503056864,0.2992486721736986,0.6261694812161126,1.064835867172133,2.3939893773895893,0.6503819641085752,0.7155337970718669,0.4514285714285714,0.4152527491524596,12.850408871846922,5.921597547350183,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-34-testval
False,False,True,True,False,128,128,51,True,False,True,1,False,1e-05,0.7044535622733566,0.0039701293071012,0.2142672782953406,0.745267114241962,0.7636284609257948,1.7141382263627252,0.3836844825587787,0.8645941217396513,0.1847014925373133,0.2082154291775474,4.582434716432092,0.6413802598076911,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-51-testval
False,False,True,False,True,128,128,68,True,False,True,3,False,1e-05,0.9111286299954682,0.0007740053030817,0.132419854504486,0.9284737237041846,0.4631525346391089,1.059358836035888,0.239463938970053,0.5300418192017271,0.1214196762141968,0.2634320253736726,2.148060837804646,0.5077262666546802,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-68-trainval
False,False,True,False,True,256,256,85,True,False,True,3,True,1e-05,0.8818011696490493,0.0009634720052353,0.1596307179288744,0.9001958583457819,0.569073272877323,1.2770457434309956,0.3265713426694168,0.5733861801348716,0.2327521793275218,0.1224293240603041,5.208176835655195,1.1618861052510945,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-85-trainval
False,False,True,False,True,128,128,200,True,False,True,1,False,1e-05,0.9185263431528662,0.0007309433453793,0.1203901087858191,0.9342177140151522,0.4415135968141665,0.9631208702865528,0.2062357518275042,0.4901668279695612,0.1996847720659553,0.137142488805481,3.471235934393959,0.978589118752796,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-trainval
