NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,0,False,True,True,1,False,1e-05,0.5305513407437593,0.0111243348693502,0.2617754147724785,0.5146271265184015,1.0588801565990438,2.0942033181798285,0.3086399480956969,0.5078404931114119,0.542483660130719,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-0-testval
False,False,True,False,True,128,128,102,True,False,True,1,False,1e-05,0.9290568703601224,0.0006730940889652,0.1046126523754956,0.9429050862159182,0.3857667978708158,0.8369012190039654,0.1560272199588587,0.4630498404351582,0.1239088263821532,0.1599241734920215,14.853421859570398,6.376684928973347,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-102-trainval
False,False,True,False,True,256,256,119,True,False,True,3,False,1e-05,0.8896234024381832,0.0008657507483735,0.130357884227222,0.9108415508656554,0.4970161137886739,1.0428630738177764,0.1959308656941547,0.4810950022950098,0.347571606475716,0.1389507228838242,52.18192442525056,12.187626314494652,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-119-trainval
False,False,True,False,True,128,128,136,True,False,True,3,False,1e-05,0.9082665403995764,0.0007738993483092,0.1228015320065244,0.9253754660546258,0.4512093235950392,0.9824122560521956,0.2045816187652545,0.4821200700637257,0.1987546699875466,0.1573655773900264,6.919248686539873,2.320830779743099,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-136-trainval
False,False,True,False,True,256,256,153,True,False,True,3,False,1e-05,0.899340993738591,0.0008299621059837,0.1196160539727377,0.919264387372666,0.4774013857957043,0.9569284317819016,0.1425508990450611,0.5015440696038475,0.2484433374844333,0.2656620319632939,4.268937106285077,0.9154612224792106,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-153-trainval
False,False,True,False,True,256,256,17,True,False,True,3,True,1e-05,0.8557608885231578,0.0009998356239185,0.1666793576339274,0.8827211789551527,0.5652627845534178,1.3334348610714195,0.2903039277049625,0.6039532504591067,0.2012453300124532,0.2930229763783106,115.66735836682086,261.9556753668422,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-17-trainval
False,False,True,False,True,256,256,170,True,False,True,3,False,1e-05,0.9143378529030696,0.0007751625320513,0.1151324316360215,0.9311024311468724,0.432416760573438,0.9210594530881726,0.1722498307386136,0.5296165029270969,0.1850560398505604,0.1362479097197496,11.179932482476213,3.5445794860717887,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-170-trainval
False,False,True,False,True,128,128,187,True,False,True,1,False,1e-05,0.9277078214575264,0.0006880232978322,0.1077444368857657,0.941845276785564,0.4090481054175499,0.8619554950861261,0.1668789084961754,0.47686724905808,0.1202715809893307,0.1923730354313334,5.9743384313238685,1.651441536418235,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-187-trainval
False,False,True,False,True,128,128,34,True,False,True,3,False,1e-05,0.8279179387956082,0.0010627143585977,0.1549704692382165,0.8562415423816678,0.6030178889082305,1.239763753905733,0.2499447637730452,0.5179727909857162,0.3180572851805728,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-34-trainval
False,False,True,False,True,256,256,51,True,False,True,1,False,1e-05,0.9243112155212826,0.0006899281447125,0.1119957393184403,0.9393573664817524,0.4116192099685784,0.8959659145475227,0.171409002427244,0.4761156770177526,0.1237875848690591,0.1696971280101845,10.571360944376512,4.097686048546688,BCO-leaky_g-256x2-256x2-start-timesignal-ep200-b64-at-51-trainval
False,False,True,False,True,128,128,68,True,False,True,3,True,1e-05,0.9104013858406882,0.0008229295719324,0.1279829484905932,0.9274624979863412,0.472712365577094,1.0238635879247453,0.2270088799536325,0.4624494895694421,0.148318804483188,0.1291847485883737,2.995524042668502,0.9081807087026535,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-68-trainval
False,False,True,False,True,256,256,85,True,False,True,1,False,1e-05,0.873365115773458,0.0008897805794415,0.1380498340722165,0.8968567777537951,0.5090015435886243,1.104398672577732,0.2261313656676517,0.541944034930624,0.2446653734238603,,,,BCO-leaky_g-256x2-256x2-start-timesignal-ep200-b64-at-85-trainval
False,False,True,False,True,256,256,200,True,False,True,3,False,1e-05,0.9292679520446636,0.0006752961287485,0.1023808117172205,0.9431019213977236,0.3971779139017264,0.8190464937377643,0.1395343892365282,0.4343379126579405,0.1306351183063512,0.1433020772744167,4.901226399415202,1.3332979622942251,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-trainval
