NaiveBC,RNN,GAN,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,0,False,True,True,1,False,1e-05,0.5305513407437593,0.0111243348693502,0.2617754147724785,0.5146271265184015,1.0588801565990438,2.0942033181798285,0.3086399480956969,0.5078404931114119,0.542483660130719,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-0-testval
False,False,True,False,True,128,128,102,True,False,True,1,False,1e-05,0.9290568703601224,0.0006730940889652,0.1046126523754956,0.9429050862159182,0.3857667978708158,0.8369012190039654,0.1560272199588587,0.4630498404351582,0.1239088263821532,0.1599241734920215,14.853421859570398,6.376684928973347,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-102-trainval
False,False,True,False,True,128,128,119,False,True,True,1,False,1e-05,0.8299206874954765,0.0024289494955705,0.1551849011281289,0.837188872847713,0.6426663615064311,1.2414792090250315,0.193057981264379,0.4464870140057434,0.4015748031496062,0.3206298847774651,27.53541526028317,0.8692313172797244,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-119-trainval
False,False,True,False,True,128,128,136,False,True,True,1,False,1e-05,0.8254185053878168,0.002660927087545,0.1602245125396947,0.8280033939212273,0.6972144939423914,1.281796100317558,0.1694034490746405,0.4643083174366045,0.4161114476075106,0.3655401200742361,83.86615123614278,248.03688074793607,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-136-trainval
False,False,True,False,True,128,128,153,False,True,True,1,False,1e-05,0.8609881975719977,0.0022451416976866,0.1360881566502712,0.8639199977254183,0.58500898120348,1.0887052532021702,0.1312772608748315,0.4475676922917818,0.4021804966686856,0.1818766733166989,33.06001679938587,25.88214987378188,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-153-trainval
False,False,True,False,True,256,256,17,True,False,True,3,True,1e-05,0.8557608885231578,0.0009998356239185,0.1666793576339274,0.8827211789551527,0.5652627845534178,1.3334348610714195,0.2903039277049625,0.6039532504591067,0.2012453300124532,0.2930229763783106,115.66735836682086,261.9556753668422,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-prepend-at-17-trainval
False,False,True,False,True,128,128,170,False,True,True,1,False,1e-05,0.8640344097991751,0.0021056914802874,0.1323055784463587,0.8633251343129767,0.5631896544672294,1.05844462757087,0.0983713999117584,0.4708693065442118,0.3930950938824954,0.1290218223533067,30.17649394908217,16.712447796395043,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-170-trainval
False,False,True,True,False,128,128,187,False,True,True,1,False,1e-05,0.8884386431988934,0.005858044218199,0.1131819163187132,0.8903053988022717,0.5003517466567166,0.905455330549706,0.0677290654955592,0.3458662898965188,0.4052287581699346,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-187-testval
False,False,True,False,True,128,128,34,True,False,True,3,False,1e-05,0.8279179387956082,0.0010627143585977,0.1549704692382165,0.8562415423816678,0.6030178889082305,1.239763753905733,0.2499447637730452,0.5179727909857162,0.3180572851805728,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-34-trainval
False,False,True,False,True,128,128,51,False,True,True,1,False,1e-05,0.8701367912312589,0.0019130841458627,0.1492819262717679,0.8742703978740539,0.5744793687430286,1.1942554101741432,0.1665853652450043,0.523288945762921,0.3513022410660206,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-51-trainval
False,False,True,False,True,128,128,68,False,True,True,1,False,1e-05,0.8733486873464104,0.002107450192917,0.1425143877268934,0.879066633070615,0.5789575842080222,1.1401151018151472,0.1753989945624306,0.405066995623287,0.404603270745003,0.2521612255517331,30.09664197320078,80.80104796487122,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-at-68-trainval
False,False,True,False,True,256,256,85,True,False,True,3,False,1e-05,0.8998459907173558,0.0008116045275443,0.1388337687571908,0.9165271434383307,0.5037225493503792,1.1106701500575265,0.1604799151306299,0.6305704926788804,0.1288916562889165,0.1334821043016516,9.274118331800771,3.0887564538399626,BCO-leaky_g-256x2-256x2-start-timesignal-doubled-ep200-b64-at-85-trainval
False,False,True,True,False,128,128,200,False,True,True,1,False,1e-05,0.8829585550531812,0.0060633779712718,0.1123022964822898,0.8886523142013257,0.5313184253532789,0.898418371858319,0.0883162183525157,0.3442908547744207,0.4052287581699346,,,,BCO-leaky_g-128x2-128x2-newdata-start-timesignal-ep200-b64-testval
