Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed,Bottle.position.xpred,Bottle.position.ypred,Bottle.position.zpred,Bottle.position.x-t,Bottle.position.y-t,Bottle.position.z-t
-0.19999980926513672,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10,0.961659931860822,-1.696263882146417,-0.1283233996161109,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.18999981880187988,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10,0.9379679775289274,-1.697077354068361,-0.0907757812290891,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.18000006675720215,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10,0.91427658805778,-1.6978908065956042,-0.0542022594846601,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.1700000762939453,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10,0.8905846337258855,-1.698704278517548,-0.018601090378163,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.16000008583068848,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10,0.8668926793939908,-1.6995177504394916,0.0160268424861805,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.15000009536743164,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10,0.8432007250620961,-1.700331222361435,0.0496815391083707,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.1399998664855957,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.2053299138990146,,-10,-10,-10,-10,0.8195082058694539,-1.7011447136780793,0.0823637670737173,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.12999987602233887,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.4108510190553495,,-10,-10,-10,-10,0.7958162515375593,-1.701958185600023,0.1140719680078181,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.11999988555908203,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.6169641444421875,2.081165466116611,-10,-10,-10,-10,0.7721242972056646,-1.702771657521967,0.1448069326997654,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.1099998950958252,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8239131291448635,0.8654682490909518,-10,-10,-10,-10,0.7484323428737699,-1.7035851294439104,0.1745686611495592,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.09999990463256836,0.7573329761624337,-1.7141453444957733,0.2759651795029639,0.6598487704992294,0.1287306705489754,0.1054860742297023,-0.7314353913068772,0.1188337046653031,-2.4840307354927065,0.0414294658228754,0.0063739468809216,0.0029914662940427,0.7087247848510743,-0.7054499059915542,0.14282293319702155,0.0026705563068389893,-0.1294861674308777,-0.6153287053108215,-0.0897017616778611,0.7753769040107727,0.0115949593950062,,,,0.0,0.2053299138990146,0.8256578451822228,-0.7550579883585802,-10,-10,-10,-10,0.7247403885418753,-1.704398601365854,0.2033571533571995,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
-0.08999991416931152,0.7331568479537964,-1.7136752963066102,0.2903246723115443,0.6584005951881409,0.1239135168492793,0.100306253042072,-0.7336630284786224,0.1188156265765428,-2.4840301632881165,0.0414565119892358,0.0064087065402417,0.0030046115396543,0.7087408512830734,-0.7054333746433258,0.12747454345226295,0.002544331550597967,-0.11675390154123311,-0.5997750476002693,-0.0936027599498629,0.7858302444219589,0.0121609223540871,-1.5348389744758606,-0.0126224756241022,1.27322658896446,1.994240695429483,0.2055211051563349,0.6238795748701764,-1.9577508914116768,-10,-10,-10,-10,0.7010484342099805,-1.7052120732877976,0.2311724093226864,-1.415979281512783,0.0025934909762084235,-0.5487426166758294
