Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w
1651820911.6194656,,,,,,,,,,,,,,,,,,,,,
1651820911.6294656,,,,,,,,,,,,,,,,,,,,,
1651820911.6394656,,,,,,,,,,,,,,,,,,,,,
1651820911.6494656,,,,,,,,,,,,,,,,,,,,,
1651820911.6594656,,,,,,,,,,,,,,,,,,,,,
1651820911.6694655,,,,,,,,,,,,,,,,,,,,,
1651820911.6794655,,,,,,,,,,,,,,,,,,,,,
1651820911.6894655,,,,,,,,,,,,,,,,,,,,,
1651820911.6994655,,,,,,,,,,,,,,,,,,,,,
1651820911.7094655,,,,,,,,,,,,,,,,,,,,,
1651820911.7194655,0.9218532651662826,-1.7190958619117738,0.18884441331028937,0.7066447883844376,0.18687205910682675,0.17780306413769717,-0.6588705718517304,0.11817526705563061,-2.4840845584869387,0.041169196367263745,0.003935189521871455,0.005189865990541815,0.709239375591278,-0.7049375116825104,0.9156494319438935,-1.7401086568832398,0.4170889973640442,-0.708054181933403,-0.023506359430029922,0.7055119723081589,0.010992796270875248
1651820911.7294655,0.9216417789459228,-1.7189387261867524,0.18881439343094825,0.7067062705755234,0.1866356641054153,0.17773356288671488,-0.6588896632194519,0.11814455650746816,-2.4840842962265013,0.04115968775004143,0.003945984272286245,0.005163025460205915,0.7092661410570145,-0.7049107193946839,0.9155465871095657,-1.7399743795394897,0.4170589968562126,-0.707865858078003,-0.023450835654511983,0.705703181028366,0.01113733800884801
1651820911.7394657,0.9214302927255631,-1.718781590461731,0.1887843735516071,0.7067677527666092,0.18639926910400384,0.17766406163573262,-0.6589087545871735,0.1181138459593057,-2.4840840339660644,0.041150179132819126,0.003956779022701034,0.0051361849298700146,0.7092929065227509,-0.7048839271068573,0.9154437422752381,-1.7398401021957397,0.41702899634838103,-0.7076775342226028,-0.02339531187899404,0.7058943897485733,0.01128187974682077
1651820911.7494657,0.921116116642952,-1.7185724318027495,0.1887734621763229,0.7067824482917786,0.1860944725573062,0.17752740234136577,-0.6590148121118545,0.11807719953358169,-2.4840837121009827,0.041125666722655246,0.0039329713559709,0.005118759535252994,0.7093243807554245,-0.7048525005578995,0.9153408974409103,-1.7397058248519897,0.41699899584054945,-0.7074892103672028,-0.023339788103476103,0.7060855984687805,0.011426421484793529
