Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed
1651820649.2897158,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820649.2997158,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820649.3097155,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820649.3197155,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820649.3297155,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10
1651820649.3397155,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10
1651820649.3497157,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.209433894656889,,-10,-10,-10,-10
1651820649.3597157,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.4189496148932967,,-10,-10,-10,-10
1651820649.3697157,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.628531909303591,2.0956481208480673,-10,-10,-10,-10
1651820649.3797157,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.8380416556726304,0.8387935210756128,-10,-10,-10,-10
1651820649.3897157,0.9176327228546144,-1.7213985979557038,0.2086394391953945,0.7147983551025391,0.13058547899127,0.1729489237070083,-0.6648692816495896,0.117847193032503,-2.483960247039795,0.0409820921719073,0.0034617784433066,0.0048086138209327,0.7095406830310822,-0.7046395272016526,0.913456043601036,-1.739715850353241,0.417228963971138,-0.7043700098991394,-0.0512951707467436,0.7073503494262695,-0.0296451755799352,,,,0.0,0.209433894656889,0.8381189771513475,-0.8370339445999773,-10,-10,-10,-10
1651820649.3997157,0.9178054511547088,-1.721325296163559,0.2082335337996482,0.714614537358284,0.1310879498720168,0.1729427784681319,-0.6649691313505173,0.1178477052599191,-2.4839603900909424,0.0409645268693565,0.0034238677471875,0.0048150229966267,0.7095405191183091,-0.7046398311853409,0.9134807854890824,-1.7396466374397277,0.4169018417596817,-0.7045704364776612,-0.0514206895604728,0.7071364283561706,-0.0297805950976907,0.0024741888046353466,0.006921291351336123,-0.03271222114563099,0.03352782868740132,0.20951572023640772,0.62868211405486,-2.094009771256289,-10,-10,-10,-10
1651820649.4097157,0.9179781794548034,-1.7212519943714142,0.207827628403902,0.7144307196140289,0.1315904207527637,0.1729366332292556,-0.665068981051445,0.1178482174873351,-2.4839605331420898,0.0409469615668057,0.0033859570510685,0.0048214321723207,0.7095403552055359,-0.7046401351690292,0.9135114252567292,-1.7395722150802613,0.416559886932373,-0.7047775149345398,-0.0515705505385994,0.706913810968399,-0.0299220248125493,0.003063976764683396,0.007442235946641951,-0.03419548273086992,0.03512984299277798,0.20958229441029444,0.4191888835194152,-2.7224412214983236,-10,-10,-10,-10
1651820649.4197156,0.9181817054748536,-1.721177214384079,0.2075020410120486,0.7143722355365754,0.1318751707673072,0.1731115914881228,-0.6650290548801422,0.1178463201969861,-2.483961021900177,0.0409328786656259,0.0033448861446231,0.0048386580310761,0.7095416098833084,-0.7046389490365982,0.913577190041542,-1.739490032196045,0.4161591112613678,-0.7050506204366684,-0.0516921715810894,0.7066258907318115,-0.0300883056595921,0.006576478481279402,0.0082182884216353,-0.04007756710052157,0.0414367194465576,0.20950974636903932,0.20971896520376676,-2.7222712187760374,-10,-10,-10,-10
1651820649.4297156,0.9183852314949036,-1.7211024343967438,0.2071764536201953,0.7143137514591217,0.1321599207818507,0.1732865497469901,-0.6649891287088394,0.1178444229066371,-2.483961510658264,0.0409187957644462,0.0033038152381777,0.0048558838898315,0.709542864561081,-0.7046377629041671,0.913663610816002,-1.7394247591495513,0.4158315479755401,-0.7053025215864182,-0.0517389131709932,0.7063691645860672,-0.0301287174224853,0.00864207744599721,0.006527304649361909,-0.032756328582767,0.03450026479304751,0.20951121613560603,0.0003331671483881582,-2.0938840686797997,-10,-10,-10,-10
1651820649.4397156,0.9185887575149536,-1.7210276544094083,0.206850866228342,0.7142552673816681,0.1324446707963943,0.1734615080058574,-0.6649492025375366,0.1178445234894752,-2.4839622378349304,0.040906661748886,0.0032681533135473,0.0048726085340603,0.7095425605773926,-0.7046381235122681,0.9137500315904618,-1.739359486103058,0.4155039846897125,-0.7055544227361679,-0.051785654760897,0.7061124384403229,-0.0301691291853785,0.008642077445975005,0.006527304649339705,-0.03275632858276145,0.034500264793032476,0.20951275179680914,0.00039136989300692093,-1.256271909204875,-10,-10,-10,-10
1651820649.4497156,0.918833503127098,-1.721003532409668,0.2064310118556022,0.7138132184743882,0.1324605748057365,0.1738730989396571,-0.6653102219104767,0.1178446240723132,-2.483962965011597,0.0408945277333259,0.0032324913889169,0.0048893331782891,0.7095422565937042,-0.704638484120369,0.9138364523649216,-1.7392942130565645,0.4151764214038849,-0.7058063238859177,-0.0518323963508009,0.7058557122945786,-0.0302095409482717,0.008642077445986107,0.006527304649339705,-0.03275632858276145,0.03450026479303526,0.20960478411125733,0.0004899324389437965,-0.6284775265198145,-10,-10,-10,-10
