Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed
1651820410.7999432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820410.8099432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820410.8199432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820410.8299432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-10,-10,-10,-10
1651820410.8399432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10
1651820410.8499432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-10,-10,-10,-10
1651820410.8599432,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.2071058398443895,,-10,-10,-10,-10
1651820410.8699431,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.4146294996499912,,-10,-10,-10,-10
1651820410.8799431,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.6225712512766379,2.0761684536803755,-10,-10,-10,-10
1651820410.8899431,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.830091323572195,0.8304879730365009,-10,-10,-10,-10
1651820410.899943,0.9566206365823746,-1.7215363562107089,0.2645422458648681,0.6954051077365875,0.0646983327344059,0.1772050015628337,-0.6933809518814087,0.1197902984917163,-2.483731472492218,0.0415639644488691,0.0055031724274158,0.0028091471409424,0.7087532609701157,-0.7054290175437927,0.9590069830417634,-1.7529807031154632,0.469233201444149,-0.6758383929729461,-0.0204850708134471,0.7349760800600051,0.050544923916459,,,,0.0,0.2071058398443895,0.8300842990517123,-0.830280812237802,-10,-10,-10,-10
