x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,-0.595393347740173,-0.037378676235676,0.794532498717308,0.04247132204473,0.0,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,0.9944727792577223
-0.00790182314813137,0.010271207429468632,0.014863831922411919,-0.620054304599762,-0.03196411952376366,0.7622207403182983,0.04535435885190964,0.07758690416812897,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,0.984137449967161
-0.014405308291316032,0.011138991452753544,0.018363183364272118,-0.6358972191810608,-0.01528744027018547,0.7522423267364502,0.046161964535713196,0.12061640620231628,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,0.9862040480021795
-0.017551017925143242,0.009953037835657597,0.019662735983729362,-0.651710033416748,0.006324682384729385,0.7479928731918335,0.05317627638578415,0.1506584882736206,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,0.993522533201617
-0.01916239969432354,0.007998303510248661,0.02009461261332035,-0.6689152717590332,0.03164786472916603,0.7448208332061768,0.06374936550855637,0.17330175638198853,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0036290566315145
-0.022308645769953728,0.005359248723834753,0.021688980981707573,-0.6851171851158142,0.05828133597970009,0.7418398857116699,0.07459788024425507,0.1954813301563263,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.014235441716683
-0.027777744457125664,0.0021340115927159786,0.02521633543074131,-0.6993135213851929,0.08524756133556366,0.7391484975814819,0.08504615724086761,0.21803614497184753,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0246364712639404
-0.03595466911792755,-0.001462115440517664,0.031085381284356117,-0.7106717228889465,0.11206065118312836,0.7372841835021973,0.09525524079799652,0.24313373863697052,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.034540195158949
-0.04729803651571274,-0.004725141916424036,0.03916200250387192,-0.718804121017456,0.13947223126888275,0.7374582290649414,0.105989471077919,0.27531710267066956,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0446101068254006
-0.061684682965278625,-0.007168664131313562,0.049601636826992035,-0.7230952978134155,0.16801908612251282,0.7406101226806641,0.11784913390874863,0.319126158952713,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0552198800256878
-0.07669693231582642,-0.007035358343273401,0.060888879001140594,-0.7210941314697266,0.19643276929855347,0.7469793558120728,0.1300375759601593,0.37421658635139465,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0646363268578578
-0.09140678495168686,-0.0061148242093622684,0.07105153053998947,-0.7123185396194458,0.22233809530735016,0.7550739049911499,0.1428983211517334,0.43688830733299255,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0711622018616267
-0.10410089045763016,-0.0057191685773432255,0.08015243709087372,-0.6984421610832214,0.24428722262382507,0.7647353410720825,0.1558169275522232,0.5071859359741211,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0754518847035008
-0.11581665277481079,-0.0029024318791925907,0.08876606822013855,-0.6804978847503662,0.2623387277126312,0.7746881246566772,0.1676567941904068,0.5863615870475769,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0771023490503995
-0.12465032190084457,0.0005311830900609493,0.09587474912405014,-0.6595892906188965,0.27577176690101624,0.7866190671920776,0.17853249609470367,0.6758435368537903,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0778457722470258
-0.12975545227527618,0.0013509555719792843,0.10161604732275009,-0.6397560238838196,0.28695401549339294,0.8015602827072144,0.18410572409629822,0.7616181969642639,-1.318412353062006,-0.0661121508999433,-0.30263037484546546,1.0807516743276915
