Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.2613234221935272,-0.19191980361938477,0.0867452472448349,-0.3170146942138672,1.0393619537353516,0.18862323462963104,0.7654790878295898,0.5082414746284485,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.01,-0.02853402867913246,0.01206660270690918,-0.021992038935422897,-0.1687477082014084,0.7900853157043457,0.17369459569454193,0.7229324579238892,1.0202760696411133,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.02,-0.18898600339889526,-0.06923454254865646,0.0556839257478714,-0.17114196717739105,0.8316479921340942,0.1876509040594101,0.6977168917655945,1.0411099195480347,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.03,-0.1582546830177307,-0.04532582312822342,0.0375114344060421,-0.17348575592041016,0.7844232320785522,0.181534081697464,0.6218476891517639,1.0492478609085083,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.04,-0.20534604787826538,-0.05306147783994675,0.07673759758472443,-0.18628163635730743,0.792926549911499,0.21127428114414215,0.6373932361602783,1.0645480155944824,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.05,-0.19808553159236908,-0.04533398151397705,0.06817765533924103,-0.17864227294921875,0.7873324751853943,0.194880872964859,0.6096615791320801,1.0866283178329468,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.06,-0.22061404585838318,-0.047362685203552246,0.08528193831443787,-0.1805984526872635,0.7876681089401245,0.20678307116031647,0.6118131875991821,1.0892878770828247,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.07,-0.22480306029319763,-0.04369773715734482,0.08631155639886856,-0.1769648790359497,0.7828243374824524,0.2031477838754654,0.5978677272796631,1.0938736200332642,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.08,-0.24004456400871277,-0.044138193130493164,0.0970446988940239,-0.17727945744991302,0.7816008925437927,0.208906888961792,0.593342125415802,1.0950809717178345,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
0.09,-0.24831095337867737,-0.04185735434293747,0.10184560716152191,-0.17541731894016266,0.7777720093727112,0.20965014398097992,0.5836148858070374,1.09769868850708,-3.186517595068508,-0.07507635132716589,-0.2824455629760733
