x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.0,0.0,-0.595393347740173,-0.037378676235676,0.794532498717308,0.04247132204473,0.0,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.9944727792577223
-0.08823896199464798,0.011790257878601551,0.03831139951944351,-0.5569055676460266,0.23905231058597565,0.6753845810890198,0.25767993927001953,0.25519564747810364,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.943309653266958
-0.13282622396945953,0.003907614387571812,0.057003654539585114,-0.5275415182113647,0.32185599207878113,0.626567006111145,0.3241519331932068,0.2772558927536011,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.9378443485001895
-0.16460146009922028,-0.0028724288567900658,0.06925928592681885,-0.5026639103889465,0.3602444529533386,0.5947487950325012,0.3573734164237976,0.2883704602718353,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.9294562715104925
-0.19395838677883148,-0.00966064352542162,0.07942653447389603,-0.47811293601989746,0.38235461711883545,0.5710452795028687,0.376914381980896,0.30418717861175537,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.9181199243063011
-0.2230357825756073,-0.01657896488904953,0.08897218853235245,-0.4539041221141815,0.3982589840888977,0.5511482357978821,0.388668954372406,0.3294695317745209,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.9052442236191425
-0.2545679211616516,-0.023714464157819748,0.09906964749097824,-0.42929235100746155,0.41394877433776855,0.5326541066169739,0.39335983991622925,0.3638330101966858,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8911216927917884
-0.289786696434021,-0.03075280413031578,0.11163312196731567,-0.4027349650859833,0.43145716190338135,0.5133801102638245,0.393027663230896,0.4108405113220215,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8754316742840437
-0.32927656173706055,-0.03586048260331154,0.12917889654636383,-0.3708370625972748,0.45310521125793457,0.4905703663825989,0.3907325565814972,0.4720665216445923,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8579951483606086
-0.3711583912372589,-0.0375642366707325,0.1523621678352356,-0.33030155301094055,0.48152419924736023,0.46000155806541443,0.3874829113483429,0.5451265573501587,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.838277466231705
-0.4101220369338989,-0.03534023463726044,0.1761404573917389,-0.2862672507762909,0.511746346950531,0.42652788758277893,0.3852614164352417,0.6188214421272278,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8210880953732952
-0.4438302218914032,-0.03346988186240196,0.197654128074646,-0.24322693049907684,0.5438954830169678,0.3920789361000061,0.3860173225402832,0.6869077682495117,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8109974732394332
-0.4697178900241852,-0.030160728842020035,0.2169235348701477,-0.20783650875091553,0.5761736035346985,0.36160653829574585,0.38744235038757324,0.7339413166046143,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8099647518207252
-0.491833359003067,-0.026476219296455383,0.23402252793312073,-0.17844180762767792,0.6056915521621704,0.335707426071167,0.3873135447502136,0.7616152763366699,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8132742421448967
-0.511143684387207,-0.02393759787082672,0.2495952546596527,-0.15431156754493713,0.6305517554283142,0.314152330160141,0.38544297218322754,0.7786193490028381,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8177197242957949
-0.5272883772850037,-0.022406350821256638,0.2639446556568146,-0.1347736120223999,0.6513016223907471,0.29605400562286377,0.38166940212249756,0.7901113629341125,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8219958859923029
-0.5403016209602356,-0.02154967188835144,0.2771257758140564,-0.11970923840999603,0.6686471700668335,0.2813512086868286,0.3765811324119568,0.7978607416152954,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8260697256995304
-0.5505161881446838,-0.021116148680448532,0.2889019846916199,-0.10851547122001648,0.6830556392669678,0.2694953382015228,0.37050336599349976,0.8031787276268005,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8296029745326222
-0.558994472026825,-0.021077152341604233,0.29975783824920654,-0.0994933471083641,0.6959388256072998,0.25887739658355713,0.36395323276519775,0.8078048229217529,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.832892092175578
-0.5664269328117371,-0.021071046590805054,0.31017613410949707,-0.09199630469083786,0.7074596285820007,0.2492062896490097,0.35714828968048096,0.8120080828666687,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8358355829781781
-0.5729671120643616,-0.02088891714811325,0.32021450996398926,-0.0857103243470192,0.7178195118904114,0.2402309626340866,0.3504488468170166,0.8156049251556396,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.838532301699664
-0.5788217782974243,-0.02051222324371338,0.3300054371356964,-0.08022964000701904,0.7272838354110718,0.23172597587108612,0.3439984917640686,0.818763017654419,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8410769659283602
-0.5841417908668518,-0.020003948360681534,0.33965522050857544,-0.07514434307813644,0.7359724044799805,0.22348326444625854,0.33809894323349,0.8217251300811768,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8435388060758364
-0.5887898802757263,-0.019325483590364456,0.3489759564399719,-0.07048477977514267,0.7440798282623291,0.21540965139865875,0.33294185996055603,0.8244773149490356,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8460936680040417
-0.5927367210388184,-0.018574029207229614,0.3577626049518585,-0.06641384214162827,0.751408576965332,0.2077416479587555,0.3285517692565918,0.8270525932312012,-3.055852389897991,0.17324778788033282,-0.26552001200233205,0.8486038565451695
