Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt,quaternion_norm
0.0,0.92511647939682,-1.7358756065368652,0.3396293222904205,0.5506708025932312,0.4466588199138641,-0.5439400672912598,0.4478164613246918,-0.0119782788679003,-1.9190259320639844,-1.692230459298453,0.0517062385177187,0.9995763172833321
0.01,0.9300164580345154,-1.7325538396835327,0.3366963565349579,0.5479646325111389,0.4438641667366028,-0.5430857539176941,0.4528059065341949,-0.0244621746242046,-1.9190259320639844,-1.692230459298453,0.0517062385177187,0.9986270385366353
0.02,0.9363778829574584,-1.7283649444580078,0.3345871865749359,0.5453165173530579,0.4428020715713501,-0.5420845150947571,0.457651674747467,-0.0364024750888347,-1.9190259320639844,-1.692230459298453,0.0517062385177187,0.998370900813233
0.03,0.9435210824012756,-1.7239437103271484,0.3329285085201263,0.5429919958114624,0.4424677491188049,-0.54090416431427,0.4630137681961059,-0.0480143241584301,-1.9190259320639844,-1.692230459298453,0.0517062385177187,0.9987878058112509
0.04,0.9512866735458374,-1.7196073532104492,0.3315438628196716,0.5408362746238708,0.4426194429397583,-0.5394934415817261,0.4688808917999267,-0.0595098249614238,-1.9190259320639844,-1.692230459298453,0.0517062385177187,0.9996590976038376
0.05,0.9595867395401,-1.7154970169067385,0.3303236663341522,0.5387440323829651,0.4431235790252685,-0.5379783511161804,0.4751841723918915,-0.0710456743836402,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0009117556897171
0.06,0.9683879613876344,-1.7116758823394775,0.329206258058548,0.5366665720939636,0.4439018368721008,-0.5364224910736084,0.481874406337738,-0.082717515528202,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0025028093698658
0.07,0.9776840806007384,-1.708167552947998,0.3281581401824951,0.5345854759216309,0.4449022114276886,-0.5348586440086365,0.4889182448387146,-0.0945877656340599,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0044075009708613
0.08,0.9874829053878784,-1.7049767971038818,0.3271615505218506,0.5324977040290833,0.4460869431495666,-0.5333046913146973,0.4962935149669647,-0.1067013815045356,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0066123943312537
0.09,0.9978007078170776,-1.7020986080169678,0.3262076675891876,0.5304074883460999,0.4474267363548279,-0.5317715406417847,0.5039854645729065,-0.1190943494439125,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0091110484164052
0.1,1.0088547468185425,-1.6994006633758545,0.3253927528858185,0.5281768441200256,0.4489163756370544,-0.5301274657249451,0.5121658444404602,-0.1315910965204239,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0118525945546917
0.11,1.020795226097107,-1.6968222856521606,0.3246831893920898,0.5257424712181091,0.4505935311317444,-0.5282944440841675,0.5209550261497498,-0.1442366391420364,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.01485409555324
0.12,1.0336209535598757,-1.694410800933838,0.3239632546901703,0.5231547951698303,0.452480137348175,-0.5263197422027588,0.5303428173065186,-0.1572767198085785,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0181872073959701
0.13,1.0473518371582031,-1.692188382148743,0.3231998383998871,0.5204373002052307,0.4545643329620361,-0.524246335029602,0.5403338670730591,-0.1708558946847915,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0218995175379164
0.14,1.0620726346969604,-1.6901493072509766,0.3222229778766632,0.5174315571784973,0.456855833530426,-0.5220893621444702,0.5509054064750671,-0.1852480918169021,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0259272576273737
0.15,1.0779340267181396,-1.6882452964782717,0.3207500874996185,0.5138521790504456,0.4593661725521087,-0.5198125839233398,0.5620829463005066,-0.2008554339408874,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0301474182499233
0.16,1.095030426979065,-1.6864027976989746,0.3188869059085846,0.5098068714141846,0.4620414972305298,-0.5173649787902832,0.5740695595741272,-0.2177094519138336,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0347017791675295
0.17,1.1134830713272097,-1.6845622062683103,0.3166902959346771,0.5053260922431946,0.4648931324481964,-0.5147324800491333,0.5869746804237366,-0.2358986735343933,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.039696535329109
0.18,1.1325154304504397,-1.6829557418823242,0.3131864964962005,0.5002345442771912,0.4691793322563171,-0.5110055208206177,0.5998349785804749,-0.2547689080238342,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0446494574461245
0.19,1.1519330739974976,-1.681715965270996,0.3090895116329193,0.4945936501026153,0.4740441739559173,-0.5067085027694702,0.6131919026374817,-0.2740680873394012,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0498088272740087
0.2,1.1717703342437744,-1.6808029413223269,0.3046611249446869,0.4884306490421295,0.4793089032173157,-0.5020785331726074,0.6271354556083679,-0.2937986850738525,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.055311923926274
0.21,1.1920844316482544,-1.6801588535308838,0.3000033795833587,0.4817969501018524,0.4849380254745483,-0.497205913066864,0.6416864991188049,-0.3140034079551697,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.061257967140225
0.22,1.2127641439437866,-1.679772138595581,0.2951075136661529,0.4746244847774505,0.4909076392650604,-0.4922368824481964,0.6567851305007935,-0.3347792327404022,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0676715636975254
0.23,1.23273503780365,-1.6798304319381714,0.2896610796451568,0.4659716784954071,0.4970384836196899,-0.4876128733158111,0.6719948649406433,-0.3564333915710449,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0740206106442662
0.24,1.252158284187317,-1.6799354553222656,0.2842931449413299,0.4559657871723175,0.5027608871459961,-0.4819816350936889,0.6877444386482239,-0.3783630728721618,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0798018420870779
0.25,1.2711979150772097,-1.679779052734375,0.2796617448329925,0.445536732673645,0.5078539252281189,-0.4754322469234466,0.7042495608329773,-0.4002353250980377,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0855514059127893
0.26,1.2902567386627195,-1.679507851600647,0.2752805650234222,0.4347234666347503,0.5133042335510254,-0.4680260419845581,0.721176028251648,-0.4218750596046448,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0916084317761996
0.27,1.3093422651290894,-1.6791908740997314,0.2711548507213592,0.423440158367157,0.5190521478652954,-0.4599339067935943,0.7385003566741943,-0.4434373378753662,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.0980157901177516
0.28,1.3277744054794312,-1.679784655570984,0.2674536406993866,0.4127550423145294,0.524377703666687,-0.4512987434864044,0.7546525001525879,-0.4642156362533569,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1038612471310767
0.29,1.3460224866867063,-1.68270742893219,0.2639441192150116,0.4036050140857696,0.5282823443412781,-0.4421432912349701,0.7678272128105164,-0.4828433394432068,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1077132126386995
0.3,1.3644171953201294,-1.6876471042633057,0.2613404989242553,0.3953520655632019,0.5311141610145569,-0.4334575235843658,0.778610348701477,-0.4995803236961365,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1101824208805569
0.31,1.3827682733535769,-1.69413161277771,0.2597152590751648,0.3882036507129669,0.5330553650856018,-0.4253984093666076,0.7878196835517883,-0.5148029327392578,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1119684155391731
0.32,1.4011582136154177,-1.7018187046051023,0.2590060830116272,0.3820861876010895,0.534416139125824,-0.4179542958736419,0.7957321405410767,-0.5287277698516846,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.113313027608589
0.33,1.4190930128097534,-1.71077561378479,0.2585318386554718,0.3769018054008484,0.5345314741134644,-0.4117786586284637,0.8020122647285461,-0.5414292216300964,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1138061789239637
0.34,1.4365907907485962,-1.7206661701202393,0.2580233216285705,0.3726565539836883,0.5335248112678528,-0.406941682100296,0.8066615462303162,-0.5530017018318176,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.113474747923229
0.35,1.4539366960525513,-1.7310353517532349,0.2576367259025574,0.3693904876708984,0.5319666266441345,-0.4030455350875854,0.8101280927658081,-0.563596248626709,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1127403355173604
0.36,1.4708930253982544,-1.7416250705718994,0.2576861977577209,0.3673630654811859,0.5300129055976868,-0.3996907770633697,0.8127720355987549,-0.5730447173118591,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.111854487377148
0.37,1.4865247011184692,-1.751861572265625,0.2592913210391998,0.3674323856830597,0.5280752182006836,-0.3963031470775604,0.8148685693740845,-0.5804513692855835,-1.9190259320639844,-1.692230459298453,0.0517062385177187,1.1112771768842327
