Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.015879623591899872,-0.0006241833325475454,0.0024781019892543554,0.23417989909648895,0.6561752557754517,-0.2694943845272064,0.6582054495811462,-0.0025974432937800884,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.01,-0.028865624219179153,-0.0003390421625226736,0.0046522486954927444,0.23141977190971375,0.6532500386238098,-0.26060158014297485,0.6614214777946472,-0.0017484812997281551,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.02,-0.039981015026569366,0.0005474875215440989,0.007041161879897118,0.22767439484596252,0.6537696123123169,-0.25284823775291443,0.6625068187713623,0.0017459285445511341,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.03,-0.04983089491724968,0.0017880538944154978,0.009774120524525642,0.22343604266643524,0.6564560532569885,-0.24599139392375946,0.6623495221138,0.00731055298820138,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.04,-0.05879872664809227,0.0032242874149233103,0.012799298390746117,0.2190096527338028,0.6604748964309692,-0.23985052108764648,0.6614417433738708,0.014560120180249214,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.05,-0.06723780184984207,0.0048031993210315704,0.016031991690397263,0.21458680927753448,0.6652746200561523,-0.23421256244182587,0.660078227519989,0.023275885730981827,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.06,-0.07528364658355713,0.006473664194345474,0.019409770146012306,0.21028774976730347,0.6705699563026428,-0.2289787232875824,0.6584246754646301,0.033312976360321045,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.07,-0.08307930082082748,0.008211959153413773,0.022917671129107475,0.206177219748497,0.6762272119522095,-0.2240530550479889,0.6565775275230408,0.044583480805158615,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.08,-0.0908706784248352,0.009995874017477036,0.026412734761834145,0.20228442549705505,0.6821618676185608,-0.21947184205055237,0.6545241475105286,0.05709059536457062,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.09,-0.09871933609247208,0.011847984045743942,0.029856612905859947,0.19868838787078857,0.6882420182228088,-0.21530625224113464,0.6522042155265808,0.07085145264863968,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.1,-0.10662081837654114,0.013744998723268509,0.03335988149046898,0.1953566074371338,0.6943145394325256,-0.21157237887382507,0.6496290564537048,0.0858183428645134,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.11,-0.11444979906082153,0.015676584094762802,0.03715027868747711,0.19204756617546082,0.7001600861549377,-0.20812168717384338,0.6468085050582886,0.10152359306812286,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.12,-0.12216414511203766,0.017597582191228867,0.041039228439331055,0.18886570632457733,0.7056837677955627,-0.20476707816123962,0.6437503099441528,0.11800459772348404,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.13,-0.12966598570346832,0.019515451043844223,0.04493895545601845,0.18580499291419983,0.7107577919960022,-0.20146417617797852,0.6403794884681702,0.13491234183311462,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.14,-0.13697412610054016,0.021534714847803116,0.04887186363339424,0.18297316133975983,0.7154728770256042,-0.1982235461473465,0.6367346048355103,0.15226005017757416,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.15,-0.14423687756061554,0.023521024733781815,0.052651964128017426,0.18032166361808777,0.7198233008384705,-0.1949634850025177,0.6327407956123352,0.17023681104183197,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.16,-0.1515716314315796,0.02541228011250496,0.0564277321100235,0.1777157038450241,0.7236822247505188,-0.19152390956878662,0.6284947395324707,0.18896332383155823,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.17,-0.1590416133403778,0.027233142405748367,0.06036815419793129,0.17513342201709747,0.7270349860191345,-0.18788769841194153,0.6238822340965271,0.2086639106273651,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.18,-0.16669271886348724,0.028931599110364914,0.06437666714191437,0.17265306413173676,0.7299185991287231,-0.18418627977371216,0.6189268231391907,0.2295772284269333,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.19,-0.17467692494392395,0.03042609617114067,0.06839513033628464,0.1702694594860077,0.7325862050056458,-0.18040776252746582,0.6135181784629822,0.2521391808986664,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
