Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.10215018689632416,0.013009115122258663,-0.06366564333438873,0.22305861115455627,0.695539116859436,-0.23778271675109863,0.629917562007904,0.07927697896957397,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.01,-0.09834761917591095,-0.0063413167372345924,-0.06503336131572723,0.23487749695777893,0.7035104036331177,-0.20580068230628967,0.6273705959320068,0.15481041371822357,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.02,-0.08325575292110443,-0.021140240132808685,-0.06662704795598984,0.2408568263053894,0.6987600922584534,-0.19925335049629211,0.6314219236373901,0.21317073702812195,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.03,-0.06997664272785187,-0.03067965805530548,-0.07065433263778687,0.24926131963729858,0.6922544240951538,-0.1999954879283905,0.6353222131729126,0.2557816505432129,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.04,-0.057730063796043396,-0.03778083622455597,-0.0757470577955246,0.26021742820739746,0.6872517466545105,-0.20485511422157288,0.6389526128768921,0.2868395745754242,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.05,-0.04608474671840668,-0.0432933047413826,-0.08154457807540894,0.27300816774368286,0.6838809251785278,-0.2131275087594986,0.6430490016937256,0.30971625447273254,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.06,-0.036852672696113586,-0.04906243085861206,-0.08739256858825684,0.2871222496032715,0.6835905909538269,-0.22527289390563965,0.6489599347114563,0.3285617232322693,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.07,-0.03254120051860809,-0.05332474410533905,-0.09248163551092148,0.30213862657546997,0.6858639717102051,-0.23865318298339844,0.6544180512428284,0.3453977406024933,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.08,-0.03091590106487274,-0.056382760405540466,-0.09669371694326401,0.3184558153152466,0.6899617910385132,-0.2522120773792267,0.658720850944519,0.36127278208732605,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.09,-0.031151607632637024,-0.05869683623313904,-0.09998404234647751,0.335610032081604,0.6952125430107117,-0.2662051320075989,0.662110447883606,0.3771674633026123,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.1,-0.03291161358356476,-0.060530222952365875,-0.1024189367890358,0.35344669222831726,0.7013770341873169,-0.2806467115879059,0.664763331413269,0.3937060236930847,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.11,-0.03418274223804474,-0.0618894025683403,-0.10294557362794876,0.36920201778411865,0.7064586281776428,-0.2937403917312622,0.6656943559646606,0.41229957342147827,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.12,-0.036154285073280334,-0.06337275356054306,-0.10164419561624527,0.3825673460960388,0.7109785079956055,-0.30548086762428284,0.6655533313751221,0.4330180287361145,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.13,-0.03978307545185089,-0.06504952162504196,-0.09904950112104416,0.3945033550262451,0.7158119678497314,-0.31596454977989197,0.6647988557815552,0.4554028809070587,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.14,-0.044992461800575256,-0.0668376013636589,-0.09543145447969437,0.4054853916168213,0.7211006283760071,-0.325218141078949,0.6634898781776428,0.47926145792007446,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
0.15,-0.05158071219921112,-0.06874030083417892,-0.09094465523958206,0.41573911905288696,0.7268138527870178,-0.33343014121055603,0.6617043018341064,0.5045110583305359,-2.1953625491778577,-0.0048902957262915,-0.3454988290365032
