Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w
1651820911.6194656,0.9224255681037904,-1.7204042673110962,0.189453586935997,0.7069181799888611,0.1874916702508926,0.1778115481138229,-0.6584046483039856,0.1183752939105033,-2.4840850830078125,0.0412156246602535,0.003768634982407,0.0054387035779654,0.7090608477592468,-0.7051162719726562,0.916248083114624,-1.741158366203308,0.4176699519157409,-0.7075057625770569,-0.0395450107753276,0.7055938243865967,-0.0030260044150054
1651820911.6294656,0.9224255681037904,-1.7204042673110962,0.189453586935997,0.7069181799888611,0.1874916702508926,0.1778115481138229,-0.6584046483039856,0.1183752939105033,-2.4840850830078125,0.0412156246602535,0.003768634982407,0.0054387035779654,0.7090608477592468,-0.7051162719726562,0.916248083114624,-1.741158366203308,0.4176699519157409,-0.7075057625770569,-0.0395450107753276,0.7055938243865967,-0.0030260044150054
1651820911.6394656,0.9224255681037904,-1.7204042673110962,0.189453586935997,0.7069181799888611,0.1874916702508926,0.1778115481138229,-0.6584046483039856,0.1183752939105033,-2.4840850830078125,0.0412156246602535,0.003768634982407,0.0054387035779654,0.7090608477592468,-0.7051162719726562,0.916248083114624,-1.741158366203308,0.4176699519157409,-0.7075057625770569,-0.0395450107753276,0.7055938243865967,-0.0030260044150054
1651820911.6494656,0.9224255681037904,-1.7204042673110962,0.189453586935997,0.7069181799888611,0.1874916702508926,0.1778115481138229,-0.6584046483039856,0.1184851229190826,-2.484090805053711,0.04122269526124,0.0036414517089724,0.0055893054232001,0.7089771032333374,-0.7052000164985657,0.916248083114624,-1.741158366203308,0.4176699519157409,-0.7075057625770569,-0.0395450107753276,0.7055938243865967,-0.0030260044150054
1651820911.6594656,0.9232193231582642,-1.7196333408355713,0.188954696059227,0.7060827612876892,0.1883022934198379,0.1789758056402206,-0.658754289150238,0.1184851229190826,-2.484090805053711,0.04122269526124,0.0036414517089724,0.0055893054232001,0.7089771032333374,-0.7052000164985657,0.9162513613700868,-1.740583896636963,0.4171902239322662,-0.7090533375740051,-0.0242622159421443,0.704659640789032,0.0104675600305199
1651820911.6694655,0.9232193231582642,-1.7196333408355713,0.188954696059227,0.7060827612876892,0.1883022934198379,0.1789758056402206,-0.658754289150238,0.1184851229190826,-2.484090805053711,0.04122269526124,0.0036414517089724,0.0055893054232001,0.7089771032333374,-0.7052000164985657,0.9162513613700868,-1.740583896636963,0.4171902239322662,-0.7090533375740051,-0.0242622159421443,0.704659640789032,0.0104675600305199
1651820911.6794655,0.9232193231582642,-1.7196333408355713,0.188954696059227,0.7060827612876892,0.1883022934198379,0.1789758056402206,-0.658754289150238,0.1184851229190826,-2.484090805053711,0.04122269526124,0.0036414517089724,0.0055893054232001,0.7089771032333374,-0.7052000164985657,0.9162513613700868,-1.740583896636963,0.4171902239322662,-0.7090533375740051,-0.0242622159421443,0.704659640789032,0.0104675600305199
1651820911.6894655,0.9232193231582642,-1.7196333408355713,0.188954696059227,0.7060827612876892,0.1883022934198379,0.1789758056402206,-0.658754289150238,0.1184851229190826,-2.484090805053711,0.04122269526124,0.0036414517089724,0.0055893054232001,0.7089771032333374,-0.7052000164985657,0.9162513613700868,-1.740583896636963,0.4171902239322662,-0.7090533375740051,-0.0242622159421443,0.704659640789032,0.0104675600305199
1651820911.6994655,0.9232193231582642,-1.7196333408355713,0.188954696059227,0.7060827612876892,0.1883022934198379,0.1789758056402206,-0.658754289150238,0.1182711645960807,-2.484094381332397,0.0412343479692935,0.0040117516182363,0.0052240025252103,0.7091550230979919,-0.705021858215332,0.9164670705795288,-1.740459680557251,0.4170955419540405,-0.7086347341537476,-0.0286088064312934,0.7049625515937805,0.0068026455119252
1651820911.7094655,0.9227058291435242,-1.7187297344207764,0.188615545630455,0.7042508721351624,0.1887309253215789,0.1777480095624923,-0.6609213948249817,0.1182711645960807,-2.484094381332397,0.0412343479692935,0.0040117516182363,0.0052240025252103,0.7091550230979919,-0.705021858215332,0.9160457253456116,-1.740091323852539,0.4167833030223846,-0.7092078328132629,-0.0161198247224092,0.7046020030975342,0.0173347685486078
