NaiveBC,RNN-BC,GAN-BC,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,True,False,128,128,17,True,False,True,3,False,1e-05,0.5473611128086832,0.005910498428076329,0.34301831721088266,0.6117440675967774,1.1824994870128622,2.7441465376870613,0.7392997637913342,1.0921426605352507,0.4904761904761905,0.45506694295763933,171.58178782220457,286.5621275124821,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-17-testval
False,False,True,False,True,128,128,17,True,False,True,3,False,1e-05,0.8243112069073253,0.0011734085633942318,0.19348529040163942,0.8560229165137254,0.7014681351845393,1.5478823232131154,0.32123552040775744,0.7371786607033323,0.36102117061021166,0.4630259557191102,183.22213437679684,419.70916615496304,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-17-trainval
False,False,True,True,False,128,128,170,True,False,True,3,False,1e-05,0.7402940560472376,0.003923972710255825,0.21481084287517876,0.7842608445271582,0.7709579583648966,1.7184867430014301,0.4365779814885195,0.6298547741375481,0.35523809523809524,0.18521754856110134,10.915997152769712,1.6430929142866655,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-170-testval
False,False,True,False,True,128,128,170,True,False,True,3,False,1e-05,0.8893298446819391,0.0008956120583201454,0.1298915891578232,0.9113015911775332,0.5026880994188311,1.0391327132625854,0.19130905284937966,0.4914478843193834,0.28679950186799497,0.14598678871860687,9.598879145186668,2.6103783976694666,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-170-trainval
False,False,True,True,False,128,128,187,True,False,True,3,False,1e-05,0.671680433478538,0.0054319314898292215,0.31111640074196745,0.731520549265492,1.1452599401586805,2.4889312059357396,0.5310409385407155,0.6597089555199575,0.4847619047619047,0.35595714371597803,21.7088800332094,3.737157933809948,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-187-testval
False,False,True,False,True,128,128,187,True,False,True,3,False,1e-05,0.8571469612614984,0.0011521062233320748,0.1835414602021009,0.8862674239731996,0.7297824064682038,1.4683316816168073,0.23119093847104105,0.5424691958074693,0.3504358655043587,0.4007176742778134,26.111290657995475,6.34474755576377,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-187-trainval
False,False,True,True,False,128,128,34,True,False,True,3,False,1e-05,0.562090741289724,0.005427550305686402,0.29924867217369866,0.6261694812161126,1.064835867172133,2.3939893773895893,0.6503819641085752,0.7155337970718669,0.4514285714285714,0.41525274915245963,12.850408871846922,5.921597547350183,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-34-testval
False,False,True,False,True,128,128,34,True,False,True,3,False,1e-05,0.8279179387956082,0.0010627143585977925,0.15497046923821658,0.8562415423816678,0.6030178889082305,1.2397637539057327,0.24994476377304523,0.5179727909857162,0.31805728518057286,,,,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-34-trainval
False,False,True,True,False,128,128,51,True,False,True,3,False,1e-05,0.6706089415930171,0.003981389285118514,0.2430030221610975,0.7302395812950353,0.8325822506360897,1.94402417728878,0.46204384895578215,0.9803483836890587,0.40380952380952384,0.26518776847565023,36.11403710198375,51.601458884935795,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-51-testval
False,False,True,False,True,128,128,51,True,False,True,3,False,1e-05,0.8939085205598367,0.0008317346409980267,0.14086063210432656,0.9137854179952086,0.5237168490745584,1.1268850568346125,0.22232973106395607,0.5419034661165514,0.24184308841843083,0.27430735657569005,39.65836531113694,44.94717542747748,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-at-51-trainval
