Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.06715044379234314,-0.07325339317321777,0.05245903134346008,0.07161805033683777,0.6329430341720581,-0.020853042602539062,0.6088879108428955,-0.004518149420619011,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.01,-0.058111291378736496,-0.023965969681739807,0.0060308752581477165,0.09244666993618011,0.717392086982727,-0.05770780146121979,0.7205716371536255,-0.03731219470500946,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.02,-0.046602752059698105,-0.0021710386499762535,-0.00014164368622004986,0.09764602035284042,0.7276767492294312,-0.08361992239952087,0.7382789850234985,-0.06746261566877365,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.03,-0.04110131040215492,0.002718360163271427,-0.0010339736472815275,0.09958969801664352,0.7293983697891235,-0.09582960605621338,0.7422159910202026,-0.08210974186658859,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.04,-0.03788117691874504,0.003159002400934696,-0.0023254945408552885,0.10058838874101639,0.7297923564910889,-0.1006968766450882,0.744483470916748,-0.08936620503664017,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.05,-0.03574659302830696,0.0030251601710915565,-0.0035704493056982756,0.10090656578540802,0.729694128036499,-0.10276047885417938,0.7461069822311401,-0.09363225847482681,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.06,-0.0342351458966732,0.002873585559427738,-0.004543137736618519,0.10086462646722794,0.7294708490371704,-0.1036955714225769,0.7472429275512695,-0.09644955396652222,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.07,-0.033148203045129776,0.002758384682238102,-0.0052696289494633675,0.10068240016698837,0.7292572259902954,-0.1041373610496521,0.7480388879776001,-0.09840360283851624,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.08,-0.03236394748091698,0.002674655057489872,-0.005806108005344868,0.10047339648008347,0.7290835380554199,-0.10435005277395248,0.7486034631729126,-0.09978704899549484,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
0.09,-0.031796928495168686,0.002614096738398075,-0.0062002139165997505,0.10028428584337234,0.7289499640464783,-0.10445339977741241,0.7490074634552002,-0.10077659040689468,-3.320080655635201,-0.04370229845525381,-0.25737210062358085
