Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,-0.32578766345977783,0.01699637994170189,0.19545388221740723,-0.030256353318691254,0.36856570839881897,0.23898734152317047,0.45754435658454895,0.4762040972709656,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.01,-0.5494998693466187,-0.06670214980840683,0.19837260246276855,-0.13219842314720154,0.672968864440918,0.25759777426719666,0.6275897026062012,0.7734259963035583,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.02,-0.2510420083999634,-0.0011384375393390656,0.03079422563314438,-0.14008665084838867,0.7835116982460022,0.21631307899951935,0.7351458072662354,0.8268728256225586,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.03,-0.1274113655090332,-0.011293161660432816,0.07430814951658249,-0.09082158654928207,0.661849856376648,0.09369810670614243,0.7342756390571594,0.5303927659988403,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.04,-0.25417575240135193,-0.03436850383877754,0.11384625732898712,-0.11108564585447311,0.5594250559806824,0.13630738854408264,0.6345299482345581,0.45375508069992065,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.05,-0.3785772919654846,-0.031598035246133804,0.1267414093017578,-0.12481304258108139,0.6085530519485474,0.23129300773143768,0.6119430065155029,0.6038550138473511,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.06,-0.3311108350753784,-0.019754786044359207,0.10086926072835922,-0.12859639525413513,0.6743423938751221,0.23064322769641876,0.6647070646286011,0.7210705876350403,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.07,-0.2462771087884903,-0.017347265034914017,0.08720918744802475,-0.11617616564035416,0.6831711530685425,0.16821621358394623,0.6983599662780762,0.6508387327194214,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.08,-0.24491122364997864,-0.023434091359376907,0.09527873992919922,-0.11252333968877792,0.6283206939697266,0.15764939785003662,0.6696804165840149,0.5704593658447266,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
0.09,-0.3102729916572571,-0.031000856310129166,0.11627114564180374,-0.11807411164045334,0.6140151619911194,0.1922391802072525,0.6395744681358337,0.5885750651359558,-2.8880884428905755,0.10171097565574876,-0.35680505336996765
