Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,1.153255581855774,-2.019658088684082,0.35070839524269104,-0.020050501450896263,0.7044347524642944,0.03439225256443024,0.7265780568122864,-0.032312244176864624,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.01,1.1489002704620361,-2.0181825160980225,0.3494982123374939,-0.019486917182803154,0.7140438556671143,0.03767988085746765,0.7281062602996826,-0.05845573544502258,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.02,1.1438229084014893,-2.017212390899658,0.35061129927635193,-0.021371951326727867,0.7206283807754517,0.0390181690454483,0.7296110391616821,-0.08030933141708374,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.03,1.1387807130813599,-2.0163166522979736,0.35261067748069763,-0.024069806560873985,0.7261046171188354,0.03932458162307739,0.7306962609291077,-0.09892365336418152,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.04,1.1337807178497314,-2.015463352203369,0.3548681139945984,-0.02689242921769619,0.7310680150985718,0.03899236023426056,0.7313634157180786,-0.11487197875976562,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.05,1.128700613975525,-2.0146889686584473,0.3571135699748993,-0.029532989487051964,0.7357149124145508,0.038210123777389526,0.7316861152648926,-0.128463476896286,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.06,1.1234300136566162,-2.0140230655670166,0.35924381017684937,-0.03184845298528671,0.7401231527328491,0.03707987070083618,0.7317327260971069,-0.13986358046531677,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.07,1.117966651916504,-2.0136101245880127,0.3613850176334381,-0.033838920295238495,0.7441712617874146,0.03554718196392059,0.7313718199729919,-0.14881810545921326,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.08,1.1121978759765625,-2.0134012699127197,0.3634169101715088,-0.035352014005184174,0.7480165362358093,0.033740729093551636,0.7307260036468506,-0.15556436777114868,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.09,1.1061931848526,-2.0134215354919434,0.3652820289134979,-0.036565087735652924,0.7518388032913208,0.03200054168701172,0.7298502326011658,-0.16012370586395264,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.1,1.0998759269714355,-2.0136561393737793,0.36698395013809204,-0.037591882050037384,0.7557064294815063,0.03049934096634388,0.7288554310798645,-0.16258114576339722,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.11,1.09309720993042,-2.0140202045440674,0.3685563802719116,-0.03844451159238815,0.7596585750579834,0.02927224524319172,0.7278735637664795,-0.16308185458183289,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.12,1.08585786819458,-2.0145821571350098,0.37024253606796265,-0.03923872858285904,0.7635431289672852,0.028199629858136177,0.7267647385597229,-0.16128617525100708,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.13,1.0780974626541138,-2.015329122543335,0.37209805846214294,-0.03993517905473709,0.7673908472061157,0.027281688526272774,0.725502610206604,-0.15712103247642517,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.14,1.069725751876831,-2.016226053237915,0.3741535544395447,-0.04048173874616623,0.7712578773498535,0.02653956599533558,0.7240992188453674,-0.1505606770515442,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.15,1.0606460571289062,-2.017238140106201,0.3764568567276001,-0.04084240645170212,0.7751877307891846,0.02598723955452442,0.7225651741027832,-0.14154809713363647,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.16,1.0507572889328003,-2.0183286666870117,0.3790656328201294,-0.040987856686115265,0.7792220115661621,0.025636615231633186,0.7209082841873169,-0.13000032305717468,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.17,1.0399518013000488,-2.019458770751953,0.3820436894893646,-0.04089135676622391,0.7834022045135498,0.02549898810684681,0.7191339731216431,-0.11581090092658997,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.18,1.0281134843826294,-2.0205881595611572,0.38545942306518555,-0.04052663594484329,0.7877709865570068,0.025586621835827827,0.7172451019287109,-0.09885045886039734,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.19,1.0151166915893555,-2.021674633026123,0.38938531279563904,-0.03986666351556778,0.7923730611801147,0.025912927463650703,0.7152433395385742,-0.07896563410758972,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.2,1.0007600784301758,-2.0227713584899902,0.3940483629703522,-0.03872226923704147,0.7970474362373352,0.02636970765888691,0.7130883932113647,-0.05602726340293884,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.21,0.9849667549133301,-2.0238006114959717,0.39951813220977783,-0.037003301084041595,0.80191570520401,0.026978151872754097,0.7107397317886353,-0.02983340434730053,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.22,0.9676042795181274,-2.024702548980713,0.40587329864501953,-0.0346498116850853,0.8070611953735352,0.027756141498684883,0.7081817388534546,-0.00015142420306801796,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.23,0.9485050439834595,-2.025425910949707,0.4132070541381836,-0.03160647302865982,0.8125458359718323,0.02871604450047016,0.7054063081741333,0.03328028321266174,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.24,0.9274791479110718,-2.0259201526641846,0.4216228127479553,-0.027815861627459526,0.818427562713623,0.02987031824886799,0.7024061679840088,0.07075569033622742,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.25,0.9036524295806885,-2.0254998207092285,0.4308048486709595,-0.024153804406523705,0.8249962329864502,0.030298681929707527,0.6982834339141846,0.11335772275924683,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.26,0.8775535225868225,-2.023240566253662,0.44180363416671753,-0.021813293918967247,0.831244707107544,0.029030444100499153,0.6925553679466248,0.16130810976028442,-1.9994331961644924,-1.89421764350034,0.0424807636414396
0.27,0.848041296005249,-2.01997447013855,0.4532117247581482,-0.0193221103399992,0.8383396863937378,0.02730758674442768,0.6844112873077393,0.21643847227096558,-1.9994331961644924,-1.89421764350034,0.0424807636414396
