Time,x,y,z,rx,ry,rz,rw,Released,xt,yt,zt
0.0,1.8322677612304688,-0.010968316346406937,0.6770830750465393,-0.007315994240343571,0.8383546471595764,0.058469727635383606,0.5175782442092896,0.5132304430007935,0.0,0.0,0.0
0.01,1.8298687934875488,-0.00981578603386879,0.6426265835762024,-0.025092996656894684,0.8690606355667114,0.06038329005241394,0.46956294775009155,0.7140533924102783,0.0,0.0,0.0
0.02,1.8265107870101929,-0.005256570875644684,0.6385198831558228,-0.04121919721364975,0.8759028911590576,0.06295415759086609,0.44598618149757385,0.8221181035041809,0.0,0.0,0.0
0.03,1.82339346408844,0.0010675936937332153,0.6409386992454529,-0.050959743559360504,0.8768725395202637,0.07010212540626526,0.4318509101867676,0.8843879103660583,0.0,0.0,0.0
0.04,1.819930911064148,0.008234508335590363,0.6458922028541565,-0.057403989136219025,0.8769214153289795,0.0795660987496376,0.4225761890411377,0.9240531921386719,0.0,0.0,0.0
0.05,1.8167983293533325,0.016163460910320282,0.651582658290863,-0.061769746243953705,0.8772556185722351,0.0897163674235344,0.4154497981071472,0.9512052536010742,0.0,0.0,0.0
0.06,1.814129114151001,0.024378426373004913,0.6575640439987183,-0.06508401036262512,0.8777447938919067,0.0993109792470932,0.40919241309165955,0.9720044732093811,0.0,0.0,0.0
0.07,1.8120946884155273,0.03266122192144394,0.6634770631790161,-0.0677899569272995,0.878077507019043,0.10786287486553192,0.40331220626831055,0.9890925288200378,0.0,0.0,0.0
0.08,1.8105586767196655,0.04099040478467941,0.6691566109657288,-0.07000520080327988,0.8782373666763306,0.11553912609815598,0.3978975713253021,1.0039942264556885,0.0,0.0,0.0
0.09,1.8095191717147827,0.04927295446395874,0.6744473576545715,-0.07177471369504929,0.8783372640609741,0.12238016724586487,0.392915815114975,1.0175561904907227,0.0,0.0,0.0
0.1,1.808890461921692,0.057563357055187225,0.6794697642326355,-0.07341282069683075,0.8782268762588501,0.12836425006389618,0.38839298486709595,1.0301339626312256,0.0,0.0,0.0
0.11,1.808553695678711,0.0658988207578659,0.6841511130332947,-0.07490086555480957,0.877959132194519,0.13376709818840027,0.3842760920524597,1.041849136352539,0.0,0.0,0.0
0.12,1.8084722757339478,0.07424619793891907,0.6884214282035828,-0.07618671655654907,0.877629280090332,0.13872486352920532,0.3805047273635864,1.0527942180633545,0.0,0.0,0.0
0.13,1.8086148500442505,0.0825795903801918,0.6923015117645264,-0.0772874504327774,0.8772525787353516,0.14328795671463013,0.3770468533039093,1.0630186796188354,0.0,0.0,0.0
0.14,1.808953881263733,0.09087622910737991,0.6958208084106445,-0.07822444289922714,0.8768337368965149,0.14749425649642944,0.3738763630390167,1.0725666284561157,0.0,0.0,0.0
0.15,1.8094643354415894,0.0991155356168747,0.6990076899528503,-0.07901694625616074,0.8763759136199951,0.15137708187103271,0.37096959352493286,1.0814799070358276,0.0,0.0,0.0
0.16,1.8101468086242676,0.10727509111166,0.7018868923187256,-0.079709991812706,0.8758305311203003,0.15500077605247498,0.3682556450366974,1.0897945165634155,0.0,0.0,0.0
0.17,1.8110021352767944,0.11533288657665253,0.7044790387153625,-0.08033592998981476,0.8751609325408936,0.1584288775920868,0.3656873106956482,1.0975338220596313,0.0,0.0,0.0
0.18,1.812033772468567,0.12328590452671051,0.7068332433700562,-0.0808669775724411,0.8743685483932495,0.16166138648986816,0.36324840784072876,1.104697585105896,0.0,0.0,0.0
0.19,1.8134651184082031,0.1311347335577011,0.7090319395065308,-0.08117654919624329,0.8733655214309692,0.16452470421791077,0.3608277440071106,1.1110796928405762,0.0,0.0,0.0
0.2,1.815246820449829,0.13884487748146057,0.711017906665802,-0.08128409087657928,0.8722103834152222,0.16711923480033875,0.358508825302124,1.116878867149353,0.0,0.0,0.0
0.21,1.8175026178359985,0.14616838097572327,0.7127000689506531,-0.08117347210645676,0.8709171414375305,0.1694362461566925,0.3565213680267334,1.1219764947891235,0.0,0.0,0.0
0.22,1.8201957941055298,0.15300285816192627,0.714142382144928,-0.08097776025533676,0.8696402907371521,0.1714673638343811,0.3548130691051483,1.126447319984436,0.0,0.0,0.0
0.23,1.8232754468917847,0.15934497117996216,0.7153587937355042,-0.08078591525554657,0.8684033751487732,0.17325380444526672,0.3532705307006836,1.1303116083145142,0.0,0.0,0.0
0.24,1.826555848121643,0.1650828719139099,0.7164751887321472,-0.0806301012635231,0.8672629594802856,0.17476476728916168,0.35206717252731323,1.1337403059005737,0.0,0.0,0.0
0.25,1.8299633264541626,0.17021867632865906,0.7174648642539978,-0.08047274500131607,0.8663366436958313,0.17602774500846863,0.3511500358581543,1.13677179813385,0.0,0.0,0.0
0.26,1.833460807800293,0.17481842637062073,0.7183271050453186,-0.08030852675437927,0.8656076788902283,0.1771092712879181,0.3504580557346344,1.1394367218017578,0.0,0.0,0.0
0.27,1.8370176553726196,0.17893928289413452,0.7190797924995422,-0.0801444873213768,0.8650434613227844,0.1780502200126648,0.3499508202075958,1.1417689323425293,0.0,0.0,0.0
0.28,1.8406085968017578,0.18263080716133118,0.7197394967079163,-0.0799872875213623,0.8646151423454285,0.17888203263282776,0.3495956063270569,1.1438030004501343,0.0,0.0,0.0
